Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2019-07-11;17:08:39;-4.65;155.22;514; ;Mw;6.0;BOUGAINVILLE REGION, P.N.G.;2019-07-12 06:40;778444;
2019-07-07;15:08:39;0.53;126.17;20;f;Mw;6.9;MOLUCCA SEA;2019-07-07 15:50;776757;
2019-07-06;03:19:57;35.79;-117.58;10; ;Mw;7.1;SOUTHERN CALIFORNIA;2019-07-06 03:39;775626;
2019-07-04;17:33:49;35.71;-117.51;11;f;Mw;6.4;SOUTHERN CALIFORNIA;2019-07-05 06:49;774997;
2019-07-04;04:30:45;51.13;-130.39;10;f;Mw;6.2;QUEEN CHARLOTTE ISLANDS REGION;2019-07-04 06:48;774911;
2019-07-01;17:13:31;-15.45;167.53;123; ;Mw;6.0;VANUATU;2019-07-02 06:42;774497;
2019-06-28;15:51:33;19.90;144.41;446; ;Mw;6.4;MAUG ISLANDS REG, N. MARIANA IS.;2019-06-29 13:02;773925;
2019-06-27;11:04:56;-30.32;-179.24;10; ;Mw;6.3;KERMADEC ISLANDS REGION;2019-06-27 13:36;773669;
2019-06-26;05:23:51;8.45;-82.77;40; ;Mw;6.2;PANAMA-COSTA RICA BORDER REGION;2019-06-26 06:41;773399;
2019-06-26;02:18:07;56.19;164.13;10;f;Mw;6.4;KOMANDORSKIYE OSTROVA REGION;2019-06-26 02:38;773379;
2019-06-25;09:05:40;56.19;164.29;10; ;Mw;6.3;KOMANDORSKIYE OSTROVA REGION;2019-06-25 09:32;773259;
2019-06-24;02:53:40;-6.42;129.18;214; ;Mw;7.3;BANDA SEA;2019-06-24 03:09;773032;
2019-06-24;01:05:29;-2.70;138.55;30; ;Mw;6.1;PAPUA, INDONESIA;2019-06-24 03:53;773016;
2019-06-21;08:37:16;-30.94;-177.42;10; ;Mw;6.2;KERMADEC ISLANDS, NEW ZEALAND;2019-06-21 10:16;772540;
2019-06-19;17:24:50;-2.17;138.42;10;f;Mw;6.3;PAPUA, INDONESIA;2019-06-20 08:03;772250;
2019-06-19;07:01:42;-30.75;-177.78;11; ;Mw;6.5;KERMADEC ISLANDS, NEW ZEALAND;2019-06-19 07:25;772170;
2019-06-18;13:22:19;38.63;139.46;10; ;Mw;6.5;NEAR WEST COAST OF HONSHU, JAPAN;2019-06-18 13:49;772036;
2019-06-17;06:02:04;-31.05;-177.49;10;f;Mw;6.0;KERMADEC ISLANDS REGION;2019-06-17 07:03;771815;
2019-06-16;05:17:15;-31.17;-178.03;27; ;Mw;6.3;KERMADEC ISLANDS REGION;2019-06-16 10:25;771634;
2019-06-15;22:54:59;-30.84;-178.02;10; ;Mw;7.2;KERMADEC ISLANDS, NEW ZEALAND;2019-06-15 23:14;771585;
2019-06-15;21:56:11;-21.19;-174.49;10; ;Mw;6.2;TONGA;2019-06-16 10:35;771575;
2019-06-14;00:19:11;-30.05;-71.97;10;f;Mw;6.4;OFFSHORE COQUIMBO, CHILE;2019-06-14 06:50;771148;
2019-06-04;04:39:17;29.07;139.28;435; ;Mw;6.3;IZU ISLANDS, JAPAN REGION;2019-06-04 07:01;769502;
2019-05-31;10:12:31;6.30;126.48;91; ;Mw;6.1;MINDANAO, PHILIPPINES;2019-05-31 18:42;768739;
2019-05-30;15:38:02;-21.85;-176.52;189; ;Mw;6.0;FIJI REGION;2019-05-30 17:47;768621;
2019-05-30;09:03:31;13.34;-89.17;65;f;Mw;6.6;OFFSHORE EL SALVADOR;2019-05-30 10:44;768560;
2019-05-26;07:41:13;-5.81;-75.27;112; ;Mw;8.0;NORTHERN PERU;2019-05-27 13:33;767801;
2019-05-23;08:45:20;51.45;-178.31;56; ;Mw;6.1;ANDREANOF ISLANDS, ALEUTIAN IS.;2019-05-23 09:13;767225;
2019-05-19;14:56:49;-21.45;169.58;20;f;Mw;6.2;SOUTHEAST OF LOYALTY ISLANDS;2019-05-19 20:04;766507;
2019-05-19;14:27:10;-21.55;169.71;10; ;Mw;6.1;SOUTHEAST OF LOYALTY ISLANDS;2019-05-19 19:58;766500;
2019-05-19;01:23:28;-21.58;169.86;20;f;Mw;6.3;SOUTHEAST OF LOYALTY ISLANDS;2019-05-19 20:07;766395;
2019-05-17;22:37:48;-4.58;152.99;31; ;Mw;6.0;NEW BRITAIN REGION, P.N.G.;2019-05-18 14:07;766219;
2019-05-14;12:58:25;-4.08;152.59;10;f;Mw;7.5;NEW BRITAIN REGION, P.N.G.;2019-05-14 13:32;765509;
2019-05-12;19:24:52;8.62;-82.82;30; ;Mw;6.1;PANAMA-COSTA RICA BORDER REGION;2019-05-12 20:01;765164;
2019-05-09;23:48:41;31.87;131.64;18; ;Mw;6.1;KYUSHU, JAPAN;2019-05-10 06:58;764652;
2019-05-06;21:19:36;-6.95;146.46;141; ;Mw;7.2;EASTERN NEW GUINEA REG., P.N.G.;2019-05-06 22:03;764058;
2019-05-03;07:25:28;-6.90;160.10;10;f;Mw;6.1;SOLOMON ISLANDS;2019-05-03 14:31;763253;
2019-04-29;14:19:52;10.86;57.28;10; ;Mw;6.2;CARLSBERG RIDGE;2019-04-29 14:40;762399;
2019-04-23;05:37:53;11.80;125.17;66; ;Mw;6.4;SAMAR, PHILIPPINES;2019-04-23 06:00;760848;
2019-04-22;14:49:07;-56.31;-27.47;105; ;Mw;6.0;SOUTH SANDWICH ISLANDS REGION;2019-04-22 17:30;760691;
2019-04-22;09:11:11;14.91;120.51;20;f;Mw;6.1;LUZON, PHILIPPINES;2019-04-22 17:19;760623;
2019-04-18;14:46:01;-51.14;139.45;11; ;Mw;6.5;WESTERN INDIAN-ANTARCTIC RIDGE;2019-04-18 15:34;759663;
2019-04-18;05:01:06;24.06;121.54;19;f;Mw;6.1;TAIWAN;2019-04-18 06:29;759565;
2019-04-12;11:40:48;-1.81;122.59;10;f;Mw;6.8;SULAWESI, INDONESIA;2019-04-12 12:16;757976;
2019-04-11;08:18:19;40.43;143.31;10; ;Mw;6.1;OFF EAST COAST OF HONSHU, JAPAN;2019-04-11 15:06;757677;
2019-04-09;17:53:59;-58.61;-25.46;44; ;Mw;6.5;SOUTH SANDWICH ISLANDS REGION;2019-04-09 18:13;757345;
2019-04-06;21:55:03;-6.86;125.05;567; ;Mw;6.3;BANDA SEA;2019-04-07 06:55;756659;
2019-04-05;16:14:19;-55.91;-27.92;60; ;Mw;6.5;SOUTH SANDWICH ISLANDS REGION;2019-04-06 07:26;756405;
2019-04-02;21:35:32;52.17;178.07;19; ;Mw;6.4;RAT ISLANDS, ALEUTIAN ISLANDS;2019-04-03 06:49;755690;
2019-04-01;18:39:08;-18.13;65.42;10;f;Mw;6.0;MAURITIUS - REUNION REGION;2019-04-02 07:04;755312;
2019-03-31;07:04:03;-1.95;-80.87;10;f;Mw;6.2;NEAR COAST OF ECUADOR;2019-03-31 16:51;754856;
2019-03-30;11:20:45;-5.63;151.04;68; ;Mw;6.2;NEW BRITAIN REGION, P.N.G.;2019-03-30 22:44;754702;
2019-03-28;22:06:49;50.52;159.94;10;f;Mw;6.1;EAST OF KURIL ISLANDS;2019-03-28 22:32;754390;
2019-03-24;04:37:36;1.67;126.42;52; ;Mw;6.1;MOLUCCA SEA;2019-03-24 10:07;753165;
2019-03-23;19:21:17;4.57;-76.31;122; ;Mw;6.1;COLOMBIA;2019-03-24 09:32;753079;
2019-03-20;15:24:00;-15.61;167.68;134; ;Mw;6.2;VANUATU;2019-03-20 15:46;752280;
2019-03-15;05:03:49;-17.85;-65.86;358; ;Mw;6.3;COCHABAMBA, BOLIVIA;2019-03-15 07:53;750930;
2019-03-10;12:48:00;-10.11;152.06;10;f;Mw;6.1;D'ENTRECASTEAUX ISLANDS REGION;2019-03-10 14:08;749843;
2019-03-10;08:12:24;-17.93;-178.60;561; ;Mw;6.2;FIJI REGION;2019-03-10 14:16;749801;
2019-03-08;15:06:14;10.43;126.04;40; ;Mw;6.0;PHILIPPINE ISLANDS REGION;2019-03-08 15:34;749496;
2019-03-06;15:46:11;-32.13;-177.79;10; ;Mw;6.3;SOUTH OF KERMADEC ISLANDS;2019-03-06 16:15;749018;
2019-03-02;03:22:52;41.93;146.99;10; ;Mw;6.0;OFF COAST OF HOKKAIDO, JAPAN;2019-03-02 11:29;748092;
2019-03-01;08:50:44;-14.80;-70.09;286; ;Mw;7.0;SOUTHERN PERU;2019-03-01 14:10;747936;
